job_title,experience_years,education_level,skills_count,industry,company_size,location,remote_work,certifications,salary
Software Engineer,19,PhD,16,Healthcare,Startup,Sweden,No,0,156804
Data Analyst,3,High School,13,Government,Enterprise,UK,Hybrid,0,113733
Cloud Engineer,11,Bachelor,14,Healthcare,Small,Netherlands,Hybrid,4,139561
Frontend Developer,6,Bachelor,1,Education,Enterprise,USA,Hybrid,1,156793
Cloud Engineer,5,High School,6,Retail,Small,Sweden,Hybrid,3,99408
Cybersecurity Analyst,17,Master,8,Retail,Startup,Australia,Hybrid,4,144658
Product Manager,8,Bachelor,11,Education,Large,Australia,Hybrid,0,137291
Cloud Engineer,8,Master,12,Finance,Large,UK,Yes,3,191824
DevOps Engineer,11,Diploma,3,Manufacturing,Startup,USA,Hybrid,4,152644
Data Analyst,8,Bachelor,19,Telecom,Medium,Canada,Yes,4,139952
Frontend Developer,17,PhD,2,Education,Enterprise,Canada,No,2,209268
Backend Developer,6,Bachelor,16,Telecom,Large,Canada,Hybrid,0,153313
Machine Learning Engineer,2,Bachelor,19,Manufacturing,Small,UK,Hybrid,1,147264
Frontend Developer,15,Bachelor,5,Telecom,Enterprise,UK,Hybrid,2,170556
DevOps Engineer,19,Master,3,Finance,Large,Sweden,Hybrid,4,185294
Frontend Developer,2,Diploma,18,Manufacturing,Medium,Sweden,Yes,4,115170
DevOps Engineer,20,Bachelor,9,Healthcare,Medium,UK,Yes,1,190966
Software Engineer,7,Diploma,14,Telecom,Small,Sweden,Yes,4,115600
Cloud Engineer,6,PhD,18,Technology,Medium,USA,Hybrid,4,212812
Product Manager,6,Diploma,5,Technology,Small,Remote,Yes,4,126531
Frontend Developer,10,High School,19,Technology,Medium,Singapore,No,1,121119
Cybersecurity Analyst,17,High School,5,Telecom,Startup,Singapore,Yes,0,123778
DevOps Engineer,16,Master,19,Media,Medium,Germany,Hybrid,0,178270
Cloud Engineer,19,Bachelor,2,Retail,Startup,Australia,No,1,134228
Backend Developer,2,Diploma,6,Manufacturing,Large,Singapore,Hybrid,5,103496
Backend Developer,9,Bachelor,12,Finance,Medium,Germany,Yes,3,140099
Business Analyst,15,PhD,6,Government,Large,UK,Yes,0,181656
Data Analyst,13,Bachelor,7,Finance,Small,Canada,Yes,2,131966
Business Analyst,9,Bachelor,3,Media,Small,Canada,Yes,3,133215
Backend Developer,13,Master,3,Healthcare,Medium,Germany,Yes,2,158747
Business Analyst,9,Diploma,2,Telecom,Medium,Remote,Yes,4,105728
Cybersecurity Analyst,4,Diploma,17,Manufacturing,Enterprise,Australia,No,3,143661
Cybersecurity Analyst,12,Master,4,Technology,Medium,Canada,Hybrid,3,173792
Backend Developer,2,Master,10,Government,Medium,Remote,Yes,3,120048
Cybersecurity Analyst,4,Diploma,17,Government,Enterprise,Australia,No,4,149074
Backend Developer,10,Diploma,4,Finance,Startup,Remote,Hybrid,1,97005
Product Manager,6,PhD,5,Finance,Startup,Germany,No,4,145456
Machine Learning Engineer,2,High School,13,Manufacturing,Large,Netherlands,Yes,5,146219
Product Manager,6,PhD,6,Government,Enterprise,Canada,Hybrid,1,202102
Data Analyst,15,Master,12,Technology,Startup,Sweden,No,5,123218
DevOps Engineer,10,Master,6,Telecom,Large,Singapore,Yes,2,161139
Cloud Engineer,5,Bachelor,17,Media,Medium,India,No,5,95317
Product Manager,5,Master,12,Government,Startup,UK,Hybrid,5,150799
Cybersecurity Analyst,12,Bachelor,9,Consulting,Enterprise,USA,Hybrid,1,202430
Business Analyst,20,High School,11,Technology,Small,Remote,No,0,116589
AI Engineer,19,PhD,17,Telecom,Medium,Remote,No,1,207302
Data Scientist,19,PhD,15,Education,Large,Remote,No,4,194789
Software Engineer,20,Master,12,Retail,Startup,USA,Hybrid,4,200075
AI Engineer,12,High School,13,Consulting,Small,Germany,No,1,162716
Data Analyst,16,Master,3,Consulting,Small,Germany,No,1,126599
Product Manager,2,Bachelor,17,Consulting,Enterprise,India,Yes,0,104092
DevOps Engineer,15,Bachelor,5,Retail,Startup,Sweden,Hybrid,5,130346
Software Engineer,2,High School,14,Consulting,Medium,India,Hybrid,3,76537
Data Analyst,0,Bachelor,19,Technology,Large,Netherlands,Hybrid,1,93563
Product Manager,15,Master,5,Consulting,Medium,USA,No,0,208290
Machine Learning Engineer,18,High School,3,Manufacturing,Enterprise,Germany,No,2,202089
Business Analyst,8,PhD,9,Manufacturing,Small,UK,Yes,2,135652
Backend Developer,11,Diploma,10,Consulting,Startup,Netherlands,Yes,3,122568
Backend Developer,17,Bachelor,10,Manufacturing,Startup,USA,Hybrid,4,167275
Cybersecurity Analyst,7,Bachelor,13,Education,Large,USA,No,3,180249
AI Engineer,17,Diploma,5,Government,Medium,Sweden,No,1,155579
Data Scientist,12,PhD,8,Technology,Small,Remote,Hybrid,3,152170
Machine Learning Engineer,13,Diploma,2,Education,Medium,Netherlands,No,5,140269
Cybersecurity Analyst,3,PhD,1,Manufacturing,Small,Germany,Hybrid,4,132187
Cloud Engineer,0,Master,18,Healthcare,Medium,Singapore,No,3,128695
Data Scientist,2,Diploma,9,Finance,Enterprise,Netherlands,No,0,122851
Frontend Developer,3,PhD,11,Education,Large,Netherlands,Hybrid,4,137586
Cybersecurity Analyst,16,PhD,1,Finance,Enterprise,Netherlands,Yes,4,205336
Product Manager,7,Diploma,2,Finance,Enterprise,USA,Hybrid,1,190412
Cybersecurity Analyst,4,Master,10,Healthcare,Enterprise,Singapore,Hybrid,5,156536
Frontend Developer,5,Bachelor,7,Government,Startup,Remote,Yes,5,104344
Software Engineer,20,Master,19,Government,Small,Remote,No,2,160274
Backend Developer,9,High School,13,Education,Small,Netherlands,No,3,104647
Machine Learning Engineer,7,High School,16,Telecom,Small,Sweden,Hybrid,4,122586
Software Engineer,14,Bachelor,2,Healthcare,Startup,Singapore,Hybrid,3,123847
Cybersecurity Analyst,15,PhD,3,Education,Small,USA,No,0,193830
Machine Learning Engineer,17,High School,5,Healthcare,Medium,Canada,No,1,171556
Cloud Engineer,13,Diploma,6,Manufacturing,Medium,Canada,No,3,170213
Business Analyst,16,Diploma,18,Manufacturing,Small,Germany,No,4,137530
Business Analyst,3,PhD,13,Technology,Startup,UK,Yes,4,124245
Software Engineer,4,Master,17,Technology,Startup,USA,No,3,157689
Cloud Engineer,6,Diploma,5,Manufacturing,Enterprise,Singapore,No,3,140796
Backend Developer,8,PhD,14,Retail,Startup,Sweden,Hybrid,3,126015
Machine Learning Engineer,4,High School,1,Government,Enterprise,Singapore,Yes,0,135139
Product Manager,17,PhD,10,Education,Startup,Canada,No,0,186806
Data Scientist,2,Bachelor,17,Consulting,Startup,UK,No,2,110794
Product Manager,20,Master,3,Government,Small,Canada,Hybrid,1,197459
Cloud Engineer,14,Master,17,Consulting,Medium,Netherlands,Hybrid,1,150511
Product Manager,20,PhD,7,Finance,Medium,India,Hybrid,4,132766
Cloud Engineer,20,PhD,3,Telecom,Large,UK,Yes,5,232322
Product Manager,15,Master,12,Media,Medium,Remote,Hybrid,1,164218
Data Scientist,18,Master,3,Consulting,Small,Singapore,Hybrid,2,153048
Backend Developer,10,Diploma,10,Manufacturing,Enterprise,Sweden,No,1,146949
Backend Developer,5,Master,14,Consulting,Medium,Netherlands,Hybrid,3,116728
Data Scientist,18,Master,10,Consulting,Startup,Singapore,Yes,1,150482
Business Analyst,19,Master,13,Manufacturing,Small,Germany,Yes,5,162514
Cybersecurity Analyst,9,High School,12,Consulting,Large,Singapore,Hybrid,4,138372
Product Manager,8,Bachelor,15,Finance,Small,India,Hybrid,4,96729
Data Analyst,7,High School,14,Manufacturing,Small,USA,Hybrid,5,122387
Cloud Engineer,0,Diploma,5,Retail,Large,Canada,Yes,3,139680
Cybersecurity Analyst,10,PhD,2,Healthcare,Large,USA,Yes,1,209712
Data Scientist,19,PhD,13,Retail,Enterprise,Sweden,No,4,220097
Machine Learning Engineer,3,Master,11,Healthcare,Medium,UK,Hybrid,0,157179
AI Engineer,16,Diploma,2,Finance,Enterprise,Singapore,Yes,5,197070
Backend Developer,20,Diploma,19,Education,Medium,India,Yes,0,105773
Data Scientist,18,Master,1,Finance,Medium,Canada,Hybrid,0,179865
Data Scientist,10,Bachelor,18,Retail,Small,UK,Yes,3,159606
Data Analyst,16,Bachelor,14,Retail,Medium,UK,Hybrid,0,140924
Machine Learning Engineer,15,Master,5,Technology,Enterprise,Canada,No,0,233431
Software Engineer,1,PhD,7,Finance,Medium,Remote,No,2,123822
Software Engineer,18,Bachelor,1,Finance,Small,Germany,Hybrid,4,153047
Data Scientist,13,Master,2,Technology,Startup,UK,Yes,1,152893
Product Manager,8,Master,14,Finance,Enterprise,Remote,Hybrid,0,176489
Data Analyst,17,Master,17,Retail,Enterprise,Germany,Hybrid,3,183371
DevOps Engineer,9,High School,15,Finance,Large,Netherlands,Hybrid,2,137942
Backend Developer,12,PhD,5,Manufacturing,Small,Singapore,Yes,0,137433
Data Analyst,20,PhD,6,Technology,Startup,Sweden,No,2,136311
Machine Learning Engineer,18,Master,6,Manufacturing,Small,Australia,Yes,2,168521
DevOps Engineer,7,Master,16,Manufacturing,Startup,Remote,Hybrid,4,133220
DevOps Engineer,0,Diploma,17,Consulting,Small,UK,Yes,4,126491
Cybersecurity Analyst,4,Diploma,3,Finance,Startup,India,Yes,2,77032
Cybersecurity Analyst,8,Diploma,17,Media,Small,Canada,Hybrid,4,152837
Software Engineer,17,Diploma,11,Retail,Large,India,Yes,2,108891
Data Analyst,3,Master,2,Government,Startup,UK,No,2,100408
Data Analyst,14,Bachelor,2,Healthcare,Startup,Germany,Yes,5,113911
Data Scientist,10,High School,16,Government,Enterprise,Sweden,Yes,4,163915
Frontend Developer,6,Master,17,Retail,Large,UK,Yes,3,158359
Software Engineer,12,PhD,1,Government,Enterprise,Australia,Yes,5,190353
Product Manager,17,High School,9,Technology,Large,Remote,Yes,4,161331
Product Manager,10,Master,4,Finance,Medium,Netherlands,No,4,151583
Cybersecurity Analyst,10,Master,13,Education,Enterprise,India,Hybrid,5,121787
Machine Learning Engineer,19,High School,12,Finance,Small,Australia,No,0,141798
Backend Developer,13,High School,2,Government,Large,UK,Hybrid,0,150548
DevOps Engineer,17,Bachelor,6,Finance,Small,USA,Yes,0,191941
DevOps Engineer,3,Bachelor,8,Consulting,Large,Sweden,Yes,5,133991
Backend Developer,10,PhD,5,Manufacturing,Medium,UK,Hybrid,4,162480
Software Engineer,6,Bachelor,18,Healthcare,Startup,Remote,No,5,118401
Business Analyst,4,High School,5,Finance,Enterprise,Netherlands,No,3,96463
Machine Learning Engineer,16,Bachelor,13,Manufacturing,Startup,Sweden,No,4,150287
Data Analyst,18,Master,13,Finance,Enterprise,Sweden,No,1,161176
Product Manager,10,Master,9,Government,Medium,Sweden,Hybrid,1,158988
Data Scientist,20,PhD,18,Retail,Startup,UK,No,3,192094
AI Engineer,4,Diploma,11,Finance,Medium,Singapore,Yes,1,136970
Frontend Developer,5,PhD,2,Finance,Startup,Germany,Hybrid,2,121045
Frontend Developer,12,Master,1,Consulting,Medium,Remote,No,4,117598
AI Engineer,0,PhD,9,Healthcare,Enterprise,Singapore,Hybrid,3,173736
Business Analyst,6,Diploma,18,Technology,Startup,Canada,No,0,101155
Cloud Engineer,12,High School,11,Technology,Enterprise,Germany,Yes,0,173276
DevOps Engineer,19,High School,3,Manufacturing,Enterprise,Singapore,No,3,165475
DevOps Engineer,3,High School,5,Retail,Large,Singapore,Hybrid,1,111139
Machine Learning Engineer,16,Master,3,Technology,Medium,USA,No,3,213268
DevOps Engineer,12,Diploma,8,Telecom,Medium,Canada,Yes,0,164243
Frontend Developer,4,High School,16,Retail,Startup,Canada,No,3,114669
Cloud Engineer,19,PhD,10,Retail,Large,Singapore,No,3,196474
Machine Learning Engineer,15,Diploma,18,Government,Medium,Australia,No,2,165539
Business Analyst,13,Diploma,4,Technology,Small,Remote,Yes,4,106646
Cybersecurity Analyst,16,Master,3,Media,Enterprise,India,Yes,1,133278
Cloud Engineer,6,Bachelor,17,Healthcare,Startup,Remote,Hybrid,4,117144
Cybersecurity Analyst,10,PhD,8,Government,Enterprise,Australia,No,1,182373
Data Scientist,10,Diploma,19,Manufacturing,Startup,USA,Hybrid,2,156991
Cybersecurity Analyst,13,High School,6,Manufacturing,Medium,Netherlands,Hybrid,2,131734
Data Analyst,11,PhD,8,Finance,Small,India,No,1,79982
Backend Developer,1,High School,3,Telecom,Enterprise,Remote,Yes,4,110214
Software Engineer,17,Bachelor,12,Retail,Large,Germany,Yes,2,181368
AI Engineer,16,PhD,8,Retail,Large,Netherlands,Yes,3,210186
Business Analyst,16,Master,4,Telecom,Small,Canada,No,5,153472
Data Analyst,14,Diploma,1,Telecom,Medium,USA,Yes,1,135207
AI Engineer,5,Master,4,Telecom,Small,Canada,No,2,170388
Backend Developer,4,Master,1,Education,Medium,USA,Yes,4,165139
Data Scientist,20,PhD,17,Telecom,Medium,India,No,0,122467
Machine Learning Engineer,3,Bachelor,17,Consulting,Small,UK,Hybrid,4,155378
Cloud Engineer,14,High School,14,Government,Medium,Sweden,Hybrid,0,132566
Data Analyst,3,Diploma,1,Government,Medium,Netherlands,Yes,1,87745
Software Engineer,12,Master,17,Manufacturing,Small,Singapore,Yes,2,136992
Cybersecurity Analyst,3,Master,8,Healthcare,Small,Sweden,Hybrid,2,110205
Product Manager,11,Diploma,19,Telecom,Enterprise,Netherlands,Hybrid,2,179415
DevOps Engineer,19,Bachelor,3,Education,Enterprise,Remote,No,1,173981
Software Engineer,16,Diploma,16,Healthcare,Small,India,Yes,0,99484
Frontend Developer,16,Diploma,11,Media,Enterprise,USA,Hybrid,2,195153
Cybersecurity Analyst,2,Bachelor,9,Finance,Medium,Netherlands,Yes,3,122411
Product Manager,7,High School,16,Healthcare,Startup,Sweden,No,5,116147
AI Engineer,1,Master,17,Retail,Startup,Australia,No,0,127129
Cybersecurity Analyst,15,PhD,19,Technology,Enterprise,Netherlands,Yes,0,205357
Cybersecurity Analyst,9,Master,2,Government,Enterprise,Germany,Yes,3,192046
AI Engineer,14,Diploma,2,Telecom,Small,Canada,Yes,5,193288
Software Engineer,14,PhD,19,Manufacturing,Startup,Netherlands,No,0,145457
AI Engineer,8,PhD,9,Education,Enterprise,Germany,Hybrid,3,234054
Business Analyst,1,High School,10,Media,Enterprise,Australia,No,1,85350
Frontend Developer,10,Master,8,Manufacturing,Startup,UK,Yes,4,142077
Frontend Developer,18,High School,13,Consulting,Enterprise,Remote,No,5,156785
Business Analyst,10,Bachelor,14,Consulting,Medium,Canada,Hybrid,2,135070
AI Engineer,14,Master,8,Telecom,Small,Remote,Yes,0,163679
Backend Developer,14,Bachelor,19,Education,Large,Netherlands,Yes,0,153883
Data Analyst,4,Diploma,7,Healthcare,Medium,UK,Yes,1,97440
Software Engineer,18,PhD,12,Education,Large,Germany,Yes,4,206001
Frontend Developer,14,Master,17,Consulting,Medium,India,Hybrid,1,106933
Software Engineer,15,Master,16,Technology,Enterprise,Sweden,Yes,3,189801
Business Analyst,7,Bachelor,16,Healthcare,Small,Singapore,No,2,94940
Cybersecurity Analyst,6,Bachelor,13,Media,Startup,UK,Hybrid,1,132939
DevOps Engineer,18,PhD,4,Manufacturing,Medium,Sweden,Yes,4,174381
DevOps Engineer,8,Diploma,4,Government,Medium,USA,No,5,163172
Business Analyst,4,Diploma,5,Education,Large,Singapore,Hybrid,3,97833
Data Analyst,2,PhD,9,Manufacturing,Small,Sweden,Yes,4,113703
Product Manager,12,Diploma,4,Technology,Large,India,No,5,115808
DevOps Engineer,4,High School,7,Education,Large,Germany,Hybrid,4,136500
DevOps Engineer,13,Master,12,Retail,Large,India,Hybrid,4,123504
Software Engineer,16,PhD,7,Consulting,Enterprise,Australia,Hybrid,0,187399
Machine Learning Engineer,15,PhD,19,Finance,Startup,Remote,No,3,169507
Software Engineer,19,PhD,12,Education,Enterprise,Australia,No,1,212211
Data Scientist,4,Bachelor,11,Media,Startup,Germany,Hybrid,4,118379
Cloud Engineer,0,Bachelor,3,Finance,Startup,Remote,Hybrid,1,97957
Data Scientist,13,Bachelor,8,Healthcare,Startup,Remote,No,5,119223
DevOps Engineer,14,Bachelor,3,Telecom,Small,Singapore,Yes,1,143829
DevOps Engineer,2,PhD,5,Healthcare,Startup,USA,Yes,3,150113
Business Analyst,3,High School,14,Technology,Large,Sweden,No,3,95829
Data Analyst,7,Master,13,Government,Small,USA,Hybrid,2,139843
AI Engineer,7,Master,2,Telecom,Enterprise,India,Hybrid,4,140411
Backend Developer,8,Bachelor,12,Consulting,Large,Sweden,Hybrid,1,139716
Data Analyst,3,Diploma,9,Technology,Small,USA,No,1,99571
Cloud Engineer,5,Bachelor,14,Retail,Medium,UK,Yes,0,150990
Software Engineer,0,High School,9,Healthcare,Medium,India,No,3,61915
Business Analyst,13,Master,18,Technology,Small,Netherlands,Yes,3,139836
Cybersecurity Analyst,8,PhD,2,Technology,Small,Australia,Hybrid,4,146817
AI Engineer,13,High School,10,Retail,Small,Canada,Yes,5,191939
Cloud Engineer,12,Diploma,12,Retail,Medium,UK,Hybrid,0,165695
DevOps Engineer,11,Diploma,11,Media,Enterprise,Netherlands,Hybrid,3,163979
Cybersecurity Analyst,7,Bachelor,6,Telecom,Large,Remote,Hybrid,2,127462
AI Engineer,3,Diploma,19,Education,Startup,Singapore,Yes,0,127825
